Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.422563344,103.7949261,12/2/18,9:56:00 PM,Roadworks on SLE (towards BKE) after Woodlands Ave 12 Exit. Avoid lane 1.
Roadwork,1.305415192,103.7690514,12/2/18,9:54:00 PM,Roadworks on AYE (towards MCE) after Clementi Ave 2 Exit. Avoid lane 3.
Roadwork,1.394188146,103.8193941,12/2/18,9:48:00 PM,Roadworks on SLE (towards CTE) after Upper Thomson Rd Exit. Avoid lane 1.
Vehicle breakdown,1.332134341,103.8874772,12/2/18,9:44:00 PM,Vehicle breakdown on KPE (towards ECP) after Airport Rd Entrance.
Roadwork,1.430441095,103.7673556,12/2/18,9:29:00 PM,Roadworks on Woodlands Avenue 3 (towards Woodlands Checkpoint) after Kranji Road. Avoid left lane.
Heavy Traffic,1.363692144,103.8593236,12/2/18,9:27:00 PM,Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 3 Exit.
Roadwork,1.401189568,103.8747785,12/2/18,9:26:00 PM,Roadworks on TPE (towards PIE) before Seletar Link Exit. Avoid lane 4.
Roadwork,1.331363523,103.7640594,12/2/18,9:25:00 PM,Roadworks on PIE (towards Tuas) at Clementi Ave 6 Entrance.
Roadwork,1.343494306,103.8927435,12/2/18,9:22:00 PM,Roadworks on Kim Chuan Road (towards Bartley Road East). Avoid right lane.
Roadwork,1.314220562,103.7602547,12/2/18,9:18:00 PM,Roadworks on AYE (towards Tuas ) at West Coast Way Entrance.
Vehicle breakdown,1.409883756,103.771121,12/2/18,8:55:00 PM,Vehicle breakdown on BKE (towards Woodlands) at Mandai Rd Exit.
Heavy Traffic,1.320616494,103.8550651,12/2/18,8:38:00 PM,Heavy Traffic on CTE (towards SLE) after Moulmein Rd Exit.
Accident,1.327204552,103.9060467,12/2/18,8:34:00 PM,Accident on PIE (towards Changi Airport) at Jalan Eunos Entrance.
Roadwork,1.31397596,103.7089103,12/2/18,8:21:00 PM,Roadworks on Jalan Buroh (towards Tuas) after Jurong Pier Road. Avoid left lane.
Roadwork,1.311446829,103.7329302,12/2/18,8:02:00 PM,Roadworks on Jalan Buroh (towards Tuas) after Penjuru Road. Avoid right lane.
Roadwork,1.316666987,103.8923659,12/2/18,7:48:00 PM,Roadworks on Paya Lebar Road (towards Guillemard Road) after Sims Avenue. Avoid left lane.
Heavy Traffic,1.391158795,103.7736851,12/2/18,7:11:00 PM,Heavy Traffic on KJE (towards BKE) at BKE(Woodlands) Exit.
Heavy Traffic,1.308413288,103.9325804,12/2/18,7:10:00 PM,Heavy Traffic on ECP (towards City) between East Coast Park Carpark H Exit and Still Rd Sth Exit.
Vehicle breakdown,1.323512899,103.8934216,12/2/18,6:55:00 PM,Vehicle breakdown on PIE (towards Changi Airport) after Paya Lebar Rd. Avoid lane 3.
Heavy Traffic,1.324024419,103.7438368,12/2/18,6:50:00 PM,Heavy Traffic on AYE (towards MCE) at Jurong Town Hall Rd Exit.
Heavy Traffic,1.295647687,103.8909078,12/2/18,6:39:00 PM,Heavy Traffic on ECP (towards Changi Airport) between Fort Rd Exit and Tg Katong Rd Exit.
Heavy Traffic,1.349009638,103.7958432,12/2/18,6:07:00 PM,Heavy Traffic on PIE (towards Tuas) at BKE(Woodlands) Exit.
Heavy Traffic,1.383812641,103.738183,12/2/18,6:05:00 PM,Heavy Traffic on KJE (towards BKE) at Choa Chu Kang Way Exit.
Heavy Traffic,1.421768152,103.7958172,12/2/18,5:52:00 PM,Heavy Traffic on SLE (towards BKE) at Woodlands Ave 12 Exit.
Heavy Traffic,1.328635108,103.8669211,12/2/18,5:49:00 PM,Heavy Traffic on PIE (towards Tuas) between Jalan Eunos and CTE(City) Exit.
Heavy Traffic,1.337871909,103.8960975,12/2/18,5:48:00 PM,Heavy Traffic on KPE (towards TPE) at Bartley Rd East Exit.
Heavy Traffic,1.320190809,103.8115459,12/2/18,5:41:00 PM,Heavy Traffic on Farrer Road (towards Lornie) after Empress Road.
Vehicle breakdown,1.380246641,103.8582847,12/2/18,5:41:00 PM,Vehicle breakdown on CTE (towards SLE) after AMK Ave 5 Exit.
Heavy Traffic,1.416962309,103.8031655,12/2/18,5:32:00 PM,Heavy Traffic on SLE (towards CTE) between Woodlands Ave 2 Exit and Mandai Ave Exit.
Heavy Traffic,1.285957458,103.7979073,12/2/18,5:29:00 PM,Heavy Traffic on AYE (towards MCE) between Buona Vista Exit and Alexandra Rd Exit.
Heavy Traffic,1.326184503,103.9057212,12/2/18,5:19:00 PM,Heavy Traffic on PIE (towards Changi Airport) between CTE and Jalan Eunos.
Heavy Traffic,1.309900924,103.7647888,12/2/18,5:13:00 PM,Heavy Traffic on AYE (towards MCE) between Yuan Ching Entrance and Clementi Ave 2 Exit.
Heavy Traffic,1.333872763,103.814116,12/2/18,5:10:00 PM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.
Heavy Traffic,1.363848498,103.859389,12/2/18,5:01:00 PM,Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 3 Exit.
Accident,1.417760579,103.8022987,12/2/18,4:55:00 PM,Accident on SLE (towards CTE) before Mandai Ave Exit with congestion till BKE Entrance. Avoid lane 2.
Vehicle breakdown,1.360771228,103.9607813,12/2/18,4:51:00 PM,Vehicle breakdown on TPE (towards PIE) after Loyang Ave Exit. Avoid lane 1.
Heavy Traffic,1.391098455,103.7736469,12/2/18,4:43:00 PM,Heavy Traffic on KJE (towards BKE) at BKE(Woodlands) Exit.
Heavy Traffic,1.305116795,103.9231955,12/2/18,4:41:00 PM,Heavy Traffic on ECP (towards Changi Airport) between Fort Rd Exit and Marine Vista Exit.
Accident,1.326318868,103.9062172,12/2/18,3:59:00 PM,Accident on PIE (towards Changi Airport) before Jalan Eunos with congestion till Kallang. Avoid lanes 2 and 3.
Accident,1.327022031,103.8365387,12/2/18,3:57:00 PM,Accident on PIE (towards Changi Airport) before Thomson Rd with congestion till Lornie Rd. Avoid lane 1.
Roadwork,1.326846492,103.8292834,12/2/18,3:53:00 PM,Roadworks on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 4.
Roadwork,1.304723366,103.8324485,12/2/18,3:47:00 PM,Roadworks on Orchard Road (towards Bras Basah Rd) after Scotts Road. Avoid right lane.
Roadwork,1.302869901,103.9150953,12/2/18,3:19:00 PM,Roadworks on ECP (towards Changi Airport) after Still Rd Sth Exit. Avoid lane 3.
Accident,1.284057096,103.8018844,12/2/18,3:08:00 PM,Accident on AYE (towards Tuas) before Alexandra Rd Entrance.
Roadwork,1.358570418,103.7819147,12/2/18,3:08:00 PM,Roadworks on BKE (towards Woodlands) before Dairy Farm Rd Exit. Avoid lane 1.
Roadwork,1.334642008,103.6512249,12/2/18,2:48:00 PM,Roadworks on AYE (towards MCE) after Tuas West Rd. Avoid lane 1.
Roadwork,1.429161486,103.7696303,12/2/18,2:30:00 PM,Roadworks on BKE (towards PIE) before SLE Exit. Avoid lane 3.
Roadwork,1.306996299,103.9160877,12/2/18,2:20:00 PM,Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace.
Roadwork,1.330944772,103.7953249,12/2/18,2:16:00 PM,Roadworks on Sixth Avenue (towards Fifth Avenue) after Bukit Timah Road. Avoid left lane.
Roadwork,1.343882205,103.860225,12/2/18,2:15:00 PM,Roadworks on CTE (towards SLE) after Braddell Rd Exit. Avoid lane 1.
Accident,1.347936674,103.9544369,12/2/18,2:02:00 PM,Accident on PIE (towards Changi Airport) before Tampines St 31. Avoid lane 2.
Roadwork,1.367111683,103.9468014,12/2/18,2:01:00 PM,Roadworks on TPE (towards PIE) after Pasir Ris Dr 8 Exit. Avoid lane 1.
Roadwork,1.361596991,103.8867557,12/2/18,1:48:00 PM,Roadworks on Upper Serangoon Road (towards City) after Hougang Avenue 3. Avoid right lane.
Roadwork,1.338669792,103.9758015,12/2/18,1:32:00 PM,Roadworks on PIE (towards Tuas) after ECP Entrance. Avoid lane 3.
Roadwork,1.311975172,103.9499909,12/2/18,1:15:00 PM,Roadworks on ECP (towards Changi Airport) after Bayshore Rd Exit. Avoid lane 1.
Vehicle breakdown,1.359715374,103.9035026,12/2/18,1:12:00 PM,Vehicle breakdown on KPE (towards ECP) at Tampines Road Entrance.
Roadwork,1.333360022,103.7446643,12/2/18,12:53:00 PM,Roadworks on Boon Lay Way (towards Tuas) after Jurong East Street 11. Avoid left lane.
Roadwork,1.402816797,103.7560267,12/2/18,12:50:00 PM,Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Sungei Kadut Ave. Avoid left lane.
Roadwork,1.343384703,103.8529642,12/2/18,12:24:00 PM,Roadworks on Braddell Road (towards Lorong 6 Toa Payoh). Avoid left lane.
Accident,1.319114314,103.7562011,12/2/18,12:20:00 PM,Accident on AYE (towards Tuas ) after Clementi Ave 6 Exit. Avoid lane 4.
Roadwork,1.41033844,103.7557617,12/2/18,12:19:00 PM,Roadworks on Woodlands Road (towards City) after Mandai Road. Avoid right lane.
Roadwork,1.399610068,103.7554271,12/2/18,12:19:00 PM,Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Sungei Kadut Ave. Avoid left lane.
Roadwork,1.361566788,103.886663,12/2/18,12:14:00 PM,Roadworks on Upper Serangoon Road (towards Sengkang) after Tampines Road. Avoid right lane.
Roadwork,1.364563794,103.708058,12/2/18,12:11:00 PM,Roadworks on PIE (towards Tuas) at KJE(BKE) Exit.
Roadwork,1.362713504,103.8878156,12/2/18,11:58:00 AM,Roadworks on Upper Serangoon Road (towards Sengkang) after Tampines Road. Avoid left lane.
Roadwork,1.37414933,103.8998973,12/2/18,11:57:00 AM,Roadworks on Upper Serangoon Road (towards City) after Buangkok East Drive.
Roadwork,1.373825579,103.899494,12/2/18,11:55:00 AM,Roadworks on Upper Serangoon Road (towards Sengkang) after Hougang Avenue 8. Avoid right lane.
Roadwork,1.318284613,103.9087344,12/2/18,11:54:00 AM,Roadworks on Changi Road (toward City) after Frankel Avenue.
Roadwork,1.39037034,103.7545581,12/2/18,11:50:00 AM,Roadworks on Woodlands Road (towards Woodlands Checkpoint) after KJE. Avoid left lane.
Roadwork,1.315990342,103.8923559,12/2/18,11:49:00 AM,Roadworks on Paya Lebar Road (towards Guillemard Road) after Sims Avenue. Avoid left lane.
Roadwork,1.341468048,103.9469777,12/2/18,11:48:00 AM,Roadworks on Simei Avenue (towards Tampines Avenue 5) after PIE. Avoid left lane.
Roadwork,1.339633617,103.7764075,12/2/18,11:48:00 AM,Roadworks on Upper Bukit Timah Road (towards Jalan Jurong Kechil) after Bukit Timah Avenue. Avoid right lane.
Roadwork,1.309352571,103.7820764,12/2/18,11:46:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Clementi Road.
Roadwork,1.312067781,103.7717208,12/2/18,11:43:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Road. Avoid right lane.
Roadwork,1.338149715,103.7475475,12/2/18,11:35:00 AM,Roadworks on Toh Guan Road (towards Jurong East Central) after Toh Guan Road East. Avoid right lane.
Roadwork,1.326579096,103.9446595,12/2/18,11:34:00 AM,Roadworks on New Upper Changi Road (toward Changi) after Bedok North Road. Avoid right lane.
Roadwork,1.338961615,103.6954977,12/2/18,11:33:00 AM,Roadworks on Pioneer Road North (towards Jurong West Street 63) after Jurong West Avenue 4. Avoid right lane.
Roadwork,1.290575858,103.7693714,12/2/18,11:33:00 AM,Roadworks on West Coast Highway (towards Tuas) after Wholesale Centre. Avoid left lane.
Roadwork,1.314713842,103.9385119,12/2/18,11:33:00 AM,Roadworks on Upper East Coast Road (towards Changi) after Bedok South Avenue 1. Avoid left lane.
Roadwork,1.290060232,103.7710612,12/2/18,11:32:00 AM,Roadworks on West Coast Highway (towards Tuas) after Wholesale Centre. Avoid left lane.
Roadwork,1.371675909,103.8285771,12/2/18,11:31:00 AM,Roadworks on Upper Thomson Road (towards SLE) after Ang Mo Kio Avenue 1. Avoid right lane.
